year,cited,first,last,title,source,doi
2025,0,Michel Brück,José Vicente Gomes‐Filho,"A Multi-Layered Transcriptomic Analysis Sheds Light on Antisense Transcription, RNA Processing, and SmAP Interactions in <i>Sulfolobus acidocaldarius</i>",bioRxiv (Cold Spring Harbor Laboratory),10.1101/2025.07.28.667248
2024,7,Gloria Payá,Marı́a-José Bonete,Analysis of Lsm Protein-Mediated Regulation in the Haloarchaeon Haloferax mediterranei,International Journal of Molecular Sciences,10.3390/ijms25010580
2023,9,Robert Reichelt,Dina Grohmann,The archaeal Lsm protein from <i>Pyrococcus furiosus</i> binds co-transcriptionally to poly(U)-rich target RNAs,Biological Chemistry,10.1515/hsz-2023-0215
2023,7,Gloria Payá,Marı́a-José Bonete,Comprehensive Bioinformatics Analysis of the Biodiversity of Lsm Proteins in the Archaea Domain,Microorganisms,10.3390/microorganisms11051196
2022,3,Victor Marchenkov,Gennady V. Semisotnov,The Denaturant- and Mutation-Induced Disassembly of Pseudomonas aeruginosa Hexameric Hfq Y55W Mutant,Molecules,10.3390/molecules27123821
2021,11,Gloria Payá,Julia Esclapez,Functional analysis of Lsm protein under multiple stress conditions in the extreme haloarchaeon Haloferax mediterranei,Biochimie,10.1016/j.biochi.2021.05.002
2021,9,Maria Fando,А.Д. Никулин,Structure and RNA-Binding Properties of Lsm Protein from Halobacterium salinarum,Biochemistry (Moscow),10.1134/s000629792107004x
2021,1,Alan P. R. Lorenzetti,Alan P. R. Lorenzetti,Investigação sistêmica da regulação de transcritos codificadores de transposases pela chaperona SmAP1 em Halobacterium salinarum,,10.11606/t.95.2021.tde-15092021-103306
2021,0,Maria Fando,А.Д. Никулин,Пространственная структура и РНК-связывающие свойства Lsm-белка из Halobacterium salinarum,Биохимия,10.31857/s0320972521070034
2020,37,Jillian Orans,Richard G. Brennan,Crystal structure of an Escherichia coli Hfq Core (residues 2–69)–DNA complex reveals multifunctional nucleic acid binding sites,Nucleic Acids Research,10.1093/nar/gkaa149
2020,21,Н.В. Леконцева,А.Д. Никулин,Crystal structures and RNA-binding properties of Lsm proteins from archaea Sulfolobus acidocaldarius and Methanococcus vannielii: Similarity and difference of the U-binding mode,Biochimie,10.1016/j.biochi.2020.05.001
2019,0,Maria Fando,А.Д. Никулин,Structural study of two different forms of SmAP from <i>Halobacterium salinarum</i> which have a different RNA-binding ability,Acta Crystallographica Section A Foundations and Advances,10.1107/s2053273319094476
2018,16,José Vicente Gomes‐Filho,Lennart Randau,Unique Archaeal Small RNAs,Annual Review of Genetics,10.1146/annurev-genet-120417-031300
2018,7,Robert Reichelt,Sarah Willkomm,A journey through the evolutionary diversification of archaeal Lsm and Hfq proteins,Emerging Topics in Life Sciences,10.1042/etls20180034
2017,30,Birgit Märtens,Udo Bläsi,The SmAP1/2 proteins of the crenarchaeon Sulfolobus solfataricus interact with the exosome and stimulate A-rich tailing of transcripts,Nucleic Acids Research,10.1093/nar/gkx437
2017,20,Kimberly A. Stanek,Cameron Mura,Crystal structure and RNA-binding properties of an Hfq homolog from the deep-branching Aquificae: conservation of the lateral RNA-binding mode,Acta Crystallographica Section D Structural Biology,10.1107/s2059798317000031
2017,13,Birgit Märtens,Udo Bläsi,The SmAP2 RNA binding motif in the 3′UTR affects mRNA stability in the crenarchaeum Sulfolobus solfataricus,Nucleic Acids Research,10.1093/nar/gkx581
2016,20,А.Д. Никулин,Svetlana Tishchenko,Characterization of RNA-binding properties of the archaeal Hfq-like protein from <i>Methanococcus jannaschii</i>,Journal of Biomolecular Structure and Dynamics,10.1080/07391102.2016.1189849
2016,2,Kimberly A. Stanek,Cameron Mura,Crystal structure and RNA-binding properties of an Hfq homolog from the deep-branching Aquificae: Conservation of the lateral RNA-binding mode,bioRxiv (Cold Spring Harbor Laboratory),10.1101/078733
2016,1,Cameron Mura,Cameron Mura,"The Structures, Functions, and Evolution of Sm-like Archaeal Proteins (SmAPs)",arXiv (Cornell University),10.48550/arxiv.1606.03630
2015,32,Lisa‐Katharina Maier,Anita Marchfelder,Deletion of the Sm1 encoding motif in the lsm gene results in distinct changes in the transcriptome and enhanced swarming activity of Haloferax cells,Biochimie,10.1016/j.biochi.2015.02.023
2015,25,Birgit Märtens,Udo Bläsi,The Heptameric SmAP1 and SmAP2 Proteins of the Crenarchaeon Sulfolobus Solfataricus Bind to Common and Distinct RNA Targets,Life,10.3390/life5021264
2013,93,Cameron Mura,Aaron E. Cozen,Archaeal and eukaryotic homologs of Hfq,RNA Biology,10.4161/rna.24538
2012,166,Evelyn Sauer,Oliver Weichenrieder,Small RNA binding to the lateral surface of Hfq hexamers and structural rearrangements upon mRNA target recognition,Proceedings of the National Academy of Sciences,10.1073/pnas.1202521109
2012,38,Subrata Panja,Sarah A. Woodson,Hexamer to Monomer Equilibrium of E. coli Hfq in Solution and Its Impact on RNA Annealing,Journal of Molecular Biology,10.1016/j.jmb.2012.02.009
2011,90,Tatsuhiko Someya,K. Nakamura,Crystal structure of Hfq from Bacillus subtilis in complex with SELEX-derived RNA aptamer: insight into RNA-binding properties of bacterial Hfq,Nucleic Acids Research,10.1093/nar/gkr892
2011,22,Victoriia Murina,А.Д. Никулин,RNA-binding Sm-like proteins of bacteria and archaea. Similarity and difference in structure and function,Biochemistry (Moscow),10.1134/s0006297911130050
2010,146,Gert Weber,M.C. Wahl,Functional organization of the Sm core in the crystal structure of human U1 snRNP,The EMBO Journal,10.1038/emboj.2010.295
2010,79,Susan M. Fischer,Anita Marchfelder,The Archaeal Lsm Protein Binds to Small RNAs,Journal of Biological Chemistry,10.1074/jbc.m110.118950
2007,71,Jesper S. Nielsen,Poul Valentin‐Hansen,An Hfq-like protein in archaea: Crystal structure and functional characterization of the Sm protein from <i>Methanococcus jannaschii</i>,RNA,10.1261/rna.689007
2005,124,P. Raaj Khusial,Gary W. Zieve,LSm proteins form heptameric rings that bind to RNA via repeating motifs,Trends in Biochemical Sciences,10.1016/j.tibs.2005.07.006
2005,12,Turgay Kilic,Dietrich Suck,Crystal structure of an archaeal Sm protein from <i>Sulfolobus solfataricus</i>,Proteins Structure Function and Bioinformatics,10.1002/prot.20637
2003,214,C. Sauter,C. Sauter,Sm-like proteins in Eubacteria: the crystal structure of the Hfq protein from Escherichia coli,Nucleic Acids Research,10.1093/nar/gkg480
2003,108,Stéphane Thore,Dietrich Suck,Crystal Structures of the Pyrococcus abyssi Sm Core and Its Complex with RNA,Journal of Biological Chemistry,10.1074/jbc.m207685200
2003,56,Cameron Mura,David Eisenberg,Structure and assembly of an augmented Sm-like archaeal protein 14-mer,Proceedings of the National Academy of Sciences,10.1073/pnas.0538042100
2003,53,Cameron Mura,David Eisenberg,The oligomerization and ligand‐binding properties of Sm‐like archaeal proteins (SmAPs),Protein Science,10.1110/ps.0224703
2002,79,I Törö,Dietrich Suck,Archaeal Sm Proteins form Heptameric and Hexameric Complexes: Crystal Structures of the Sm1 and Sm2 Proteins from the Hyperthermophile Archaeoglobus fulgidus,Journal of Molecular Biology,10.1016/s0022-2836(02)00406-0
2001,170,I Törö,Dietrich Suck,RNA binding in an Sm core domain: X‐ray structure and functional analysis of an archaeal Sm protein complex,The EMBO Journal,10.1093/emboj/20.9.2293
2001,111,Cameron Mura,David Eisenberg,The crystal structure of a heptameric archaeal Sm protein: Implications for the eukaryotic snRNP core,Proceedings of the National Academy of Sciences,10.1073/pnas.091102298
2001,94,Brett M. Collins,Bridget C. Mabbutt,Crystal structure of a heptameric Sm-like protein complex from archaea: implications for the structure and evolution of snRNPs,Journal of Molecular Biology,10.1006/jmbi.2001.4693
1999,478,Christian Kambach,Kiyoshi Nagai,Crystal Structures of Two Sm Protein Complexes and Their Implications for the Assembly of the Spliceosomal snRNPs,Cell,10.1016/s0092-8674(00)80550-4
